questions,answer
By when do i submit the module withdrawal form,"Please submit it to your Course Manager/Course Administrator/Course Co-ordinator by Week3, Day 5 of the semester."
What is the deadline to submit the module withdrawal form,"Please submit it to your Course Manager/Course Administrator/Course Co-ordinator by Week3, Day 5 of the semester."
How do i appeal against grade cap,"Submit letter of appeal at i@Central, Information & Service Centre on the dates stated  https://www.nyp.edu.sg/current-students/academic-matters/important-dates.html  here ."
appealing for grade cap,"Submit letter of appeal at i@Central, Information & Service Centre on the dates stated  https://www.nyp.edu.sg/current-students/academic-matters/important-dates.html  here ."
When will i know my result,Visit  https://www.nyp.edu.sg/current-students/academic-matters/important-dates.html    to view the date and time for the release of semestral assessment results for the respective academic year and semester.
When will we know our results,Visit  https://www.nyp.edu.sg/current-students/academic-matters/important-dates.html    to view the date and time for the release of semestral assessment results for the respective academic year and semester.
When is the release of semestral assessment results,Visit  https://www.nyp.edu.sg/current-students/academic-matters/important-dates.html    to view the date and time for the release of semestral assessment results for the respective academic year and semester.
How do i appeal for review of semestral assessment results,"You may appeal for a review of your assessment results within three working days from the day the assessment results are released by the polytechnic. To make an appeal, please fill up the Appeal for Review of Semestral Assessment Results form found on NYP Student Portal. The administrative fee is $26.75 for each module. There will be no refund of payment once you have submitted your request. This fee will be refunded only if your appeal is successful. Visit  https://www.nyp.edu.sg/current-students/academic-matters/nyp-assessment-regulations.html    for more information."
appealing for semestral assessment results,"You may appeal for a review of your assessment results within three working days from the day the assessment results are released by the polytechnic. To make an appeal, please fill up the Appeal for Review of Semestral Assessment Results form found on NYP Student Portal. The administrative fee is $26.75 for each module. There will be no refund of payment once you have submitted your request. This fee will be refunded only if your appeal is successful. Visit  https://www.nyp.edu.sg/current-students/academic-matters/nyp-assessment-regulations.html    for more information."
appeal for semestral assessment grades,"You may appeal for a review of your assessment results within three working days from the day the assessment results are released by the polytechnic. To make an appeal, please fill up the Appeal for Review of Semestral Assessment Results form found on NYP Student Portal. The administrative fee is $26.75 for each module. There will be no refund of payment once you have submitted your request. This fee will be refunded only if your appeal is successful. Visit  https://www.nyp.edu.sg/current-students/academic-matters/nyp-assessment-regulations.html    for more information."
Do i need to repeat a module,"If you fail any core module for the first time you must repeat the module. If you fail any prescribed or complementary elective, you can either repeat the module or register for another prescribed or complementary elective. You may repeat a prescribed or complementary elective up to a maximum of two times. However, you cannot repeat modules if you are from the Polytechnic Foundation Programme."
I failed a module,"If you fail any core module for the first time you must repeat the module. If you fail any prescribed or complementary elective, you can either repeat the module or register for another prescribed or complementary elective. You may repeat a prescribed or complementary elective up to a maximum of two times. However, you cannot repeat modules if you are from the Polytechnic Foundation Programme."
I failed a core module,"If you fail any core module for the first time you must repeat the module. If you fail any prescribed or complementary elective, you can either repeat the module or register for another prescribed or complementary elective. You may repeat a prescribed or complementary elective up to a maximum of two times. However, you cannot repeat modules if you are from the Polytechnic Foundation Programme."
I failed a prescribed elective,"If you fail any core module for the first time you must repeat the module. If you fail any prescribed or complementary elective, you can either repeat the module or register for another prescribed or complementary elective. You may repeat a prescribed or complementary elective up to a maximum of two times. However, you cannot repeat modules if you are from the Polytechnic Foundation Programme."
I failed a complementary elective,"If you fail any core module for the first time you must repeat the module. If you fail any prescribed or complementary elective, you can either repeat the module or register for another prescribed or complementary elective. You may repeat a prescribed or complementary elective up to a maximum of two times. However, you cannot repeat modules if you are from the Polytechnic Foundation Programme."
I need to repeat a module but i am called up for national service,You are required to submit the 'Updating of Expected Date of Completion form' (endorsed by your course manager or personal mentor) to i@Central. The staff at i@Central will then generate the Letter of Certification for you to submit to CMPB for deferment.
I need to repeat a module but i am called up for NS,You are required to submit the 'Updating of Expected Date of Completion form' (endorsed by your course manager or personal mentor) to i@Central. The staff at i@Central will then generate the Letter of Certification for you to submit to CMPB for deferment.
I failed a module but i am called up for national service,You are required to submit the 'Updating of Expected Date of Completion form' (endorsed by your course manager or personal mentor) to i@Central. The staff at i@Central will then generate the Letter of Certification for you to submit to CMPB for deferment.
I failed a core module but i am called up for national service,You are required to submit the 'Updating of Expected Date of Completion form' (endorsed by your course manager or personal mentor) to i@Central. The staff at i@Central will then generate the Letter of Certification for you to submit to CMPB for deferment.
I failed a prescribed elective but i am called up for national service,You are required to submit the 'Updating of Expected Date of Completion form' (endorsed by your course manager or personal mentor) to i@Central. The staff at i@Central will then generate the Letter of Certification for you to submit to CMPB for deferment.
I failed a complementary elective but i am called up for national service,You are required to submit the 'Updating of Expected Date of Completion form' (endorsed by your course manager or personal mentor) to i@Central. The staff at i@Central will then generate the Letter of Certification for you to submit to CMPB for deferment.
How do I request for my academic transcript,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Academic Matters' then 'Transcript and Certificates' click on 'Request Academic Transcript' to submit a request for academic transcript."
Where do i get my academic transcript,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Academic Matters' then 'Transcript and Certificates' click on 'Request Academic Transcript' to submit a request for academic transcript."
Where can i see my academic transcript,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Academic Matters' then 'Transcript and Certificates' click on 'Request Academic Transcript' to submit a request for academic transcript."
Where do i get my academic transcript,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Academic Matters' then 'Transcript and Certificates' click on 'Request Academic Transcript' to submit a request for academic transcript."
Where do i find my academic transcript,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Academic Matters' then 'Transcript and Certificates' click on 'Request Academic Transcript' to submit a request for academic transcript."
How do I request for my cca transcript,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Student Life' then 'CCA' click on 'View/Print Unofficial CCA Transcript' to view and print unofficial CCA transcript."
Where do i get my cca transcript,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Student Life' then 'CCA' click on 'View/Print Unofficial CCA Transcript' to view and print unofficial CCA transcript."
Where to get the graduation gown,"To order your graduation attire, visit the vendor’s website at nypgraduation.sg."
Where to rent the graduation gown,"To order your graduation attire, visit the vendor’s website at nypgraduation.sg."
How to rent the graduation gown,"To order your graduation attire, visit the vendor’s website at nypgraduation.sg."
How to purchase the graduation gown,"To order your graduation attire, visit the vendor’s website at nypgraduation.sg."
Where can i get the graduation gown,"To order your graduation attire, visit the vendor’s website at nypgraduation.sg."
Where do i get the graduation gown,"To order your graduation attire, visit the vendor’s website at nypgraduation.sg."
How do i rent the graduation gown,"To order your graduation attire, visit the vendor’s website at nypgraduation.sg."
How do i purchase the graduation gown,"To order your graduation attire, visit the vendor’s website at nypgraduation.sg."
How to order the graduation gown,"To order your graduation attire, visit the vendor’s website at nypgraduation.sg."
How do i order the graduation gown,"To order your graduation attire, visit the vendor’s website at nypgraduation.sg."
How do I collect my graduation certificate,"The graduation certificates would be issued at the Graduation Ceremony. If you did not attend the Graduation Ceremony, please collect your certificate at the i@Central, after seven working days from the last day of the Graduation Ceremony. Visit  https://www.nyp.edu.sg/current-students/academic-matters/examination-matters.html    for more information."
How do I get my graduation certificate,"The graduation certificates would be issued at the Graduation Ceremony. If you did not attend the Graduation Ceremony, please collect your certificate at the i@Central, after seven working days from the last day of the Graduation Ceremony. Visit  https://www.nyp.edu.sg/current-students/academic-matters/examination-matters.html    for more information."
Where do i collect my graduation certificate,"The graduation certificates would be issued at the Graduation Ceremony. If you did not attend the Graduation Ceremony, please collect your certificate at the i@Central, after seven working days from the last day of the Graduation Ceremony. Visit  https://www.nyp.edu.sg/current-students/academic-matters/examination-matters.html    for more information."
Where do i get my graduation certificate,"The graduation certificates would be issued at the Graduation Ceremony. If you did not attend the Graduation Ceremony, please collect your certificate at the i@Central, after seven working days from the last day of the Graduation Ceremony. Visit  https://www.nyp.edu.sg/current-students/academic-matters/examination-matters.html    for more information."
When do i collect my graduation certificate,"The graduation certificates would be issued at the Graduation Ceremony. If you did not attend the Graduation Ceremony, please collect your certificate at the i@Central, after seven working days from the last day of the Graduation Ceremony. Visit  https://www.nyp.edu.sg/current-students/academic-matters/examination-matters.html    for more information."
When do i get my graduation certificate,"The graduation certificates would be issued at the Graduation Ceremony. If you did not attend the Graduation Ceremony, please collect your certificate at the i@Central, after seven working days from the last day of the Graduation Ceremony. Visit  https://www.nyp.edu.sg/current-students/academic-matters/examination-matters.html    for more information."
How do i get a replacement of my graduation certificate,"Go to  https://www.nyp.edu.sg/current-students/academic-matters/examination-matters.html   , and click on 'Request for Replacement of Certificate' to learn how."
Where do i get a replacement of my graduation certificate,"Go to  https://www.nyp.edu.sg/current-students/academic-matters/examination-matters.html   , and click on 'Request for Replacement of Certificate' to learn how."
When does school start,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
When is the mid semester break,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
When does vacation start,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
When do holidays start,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
Where do i find the academic calendar,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
Is school starting soon,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
When is our semester break,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
When is the semester break,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
When do i graduate,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
When am i graduating,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
When is my graduation date,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
when is my graduation,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
when is the graduation ceremony,Visit  https://www.nyp.edu.sg/current-students/academic-matters/academic-calendar.html   to view NYP's Academic Calendar across different schools.
Do i need to take IPPT,"All medically fit, final year NS-eligible students in the polytechnics and Institute of Technical Education colleges are required to take the IPPT in preparation for National Service. The results of your IPPT will be reflected in your CCA transcript."
Do i need to take Individual Physical Proficiency Test,"All medically fit, final year NS-eligible students in the polytechnics and Institute of Technical Education colleges are required to take the IPPT in preparation for National Service. The results of your IPPT will be reflected in your CCA transcript."
I am unable to log in to nyp portal,"Please click on 'Forget Password' on the NYP portal homepage to change your password.  Your password must be a combination of alphanumeric characters of 12-15 characters in length, containing at least one letter, one numeral and one upper case. It cannot be reused for at least 5 generations and cannot be the same as the user ID. [12-15 characters, a-z A-Z 0-9]. Do not use any symbols. Alternatively, you can request a reset of password at i@Central, Information & Service Centre."
How do i reset nyp portal password,"Please click on 'Forget Password' on the NYP portal homepage to change your password.  Your password must be a combination of alphanumeric characters of 12-15 characters in length, containing at least one letter, one numeral and one upper case. It cannot be reused for at least 5 generations and cannot be the same as the user ID. [12-15 characters, a-z A-Z 0-9]. Do not use any symbols. Alternatively, you can request a reset of password at i@Central, Information & Service Centre."
I forgot my nyp portal password,"Please click on 'Forget Password' on the NYP portal homepage to change your password.  Your password must be a combination of alphanumeric characters of 12-15 characters in length, containing at least one letter, one numeral and one upper case. It cannot be reused for at least 5 generations and cannot be the same as the user ID. [12-15 characters, a-z A-Z 0-9]. Do not use any symbols. Alternatively, you can request a reset of password at i@Central, Information & Service Centre."
Are there lockers at NYP,"Lockers are available for rent to students at affordable rental rates. You may register for the rental of a locker at  'http://www.rent-a-locker.com'  . Payment is to be made on-line via credit or debit card. Alternatively, students can complete the Application for Locker Rental form available at Student Development at Block E, Level 4 and send it together with a cheque/cashiers order (made out to Kaichi Spacemaster Pte Ltd)."
How do i rent a locker,"Lockers are available for rent to students at affordable rental rates. You may register for the rental of a locker at  'http://www.rent-a-locker.com'  . Payment is to be made on-line via credit or debit card. Alternatively, students can complete the Application for Locker Rental form available at Student Development at Block E, Level 4 and send it together with a cheque/cashiers order (made out to Kaichi Spacemaster Pte Ltd)."
I want to rent a locker,"Lockers are available for rent to students at affordable rental rates. You may register for the rental of a locker at  'http://www.rent-a-locker.com'  . Payment is to be made on-line via credit or debit card. Alternatively, students can complete the Application for Locker Rental form available at Student Development at Block E, Level 4 and send it together with a cheque/cashiers order (made out to Kaichi Spacemaster Pte Ltd)."
What are the types of lockers available,"Lockers are available for rent to students at affordable rental rates. You may register for the rental of a locker at  'http://www.rent-a-locker.com'  . Payment is to be made on-line via credit or debit card. Alternatively, students can complete the Application for Locker Rental form available at Student Development at Block E, Level 4 and send it together with a cheque/cashiers order (made out to Kaichi Spacemaster Pte Ltd)."
How much does it cost to rent a locker,"Lockers are available for rent to students at affordable rental rates. You may register for the rental of a locker at  'http://www.rent-a-locker.com'  . Payment is to be made on-line via credit or debit card. Alternatively, students can complete the Application for Locker Rental form available at Student Development at Block E, Level 4 and send it together with a cheque/cashiers order (made out to Kaichi Spacemaster Pte Ltd)."
How can i contact my teacher,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ‘Directory’, then 'Staff Directory' and search for the staff's name, designation or department to find your teacher's contact."
How do i contact my PEM,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ‘Directory’, then 'Staff Directory' and search for the staff's name, designation or department to find your teacher's contact."
How do i contact my teacher,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ‘Directory’, then 'Staff Directory' and search for the staff's name, designation or department to find your teacher's contact."
How do i contact my module leader,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ‘Directory’, then 'Staff Directory' and search for the staff's name, designation or department to find your teacher's contact."
How do i contact my lecturer,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ‘Directory’, then 'Staff Directory' and search for the staff's name, designation or department to find your teacher's contact."
What is my teacher's contact number,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ‘Directory’, then 'Staff Directory' and search for the staff's name, designation or department to find your teacher's contact."
How do i get my teacher's contact number,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ‘Directory’, then 'Staff Directory' and search for the staff's name, designation or department to find your teacher's contact."
How many canteens are there at NYP,"There are 7 canteens at NYP - Koufu, South Canteen, North Canteen, Foodgle Hub Food Court, Food Connect - Subway, Food Connect - Manna, Food Connect - International Mart."
Are there canteens at NYP,"There are 7 canteens at NYP - Koufu, South Canteen, North Canteen, Foodgle Hub Food Court, Food Connect - Subway, Food Connect - Manna, Food Connect - International Mart."
What are the food options at NYP,"There are 7 canteens at NYP - Koufu, South Canteen, North Canteen, Foodgle Hub Food Court, Food Connect - Subway, Food Connect - Manna, Food Connect - International Mart."
What are the operating hours of canteens,Refer to  https://mynypportal.nyp.edu.sg/content/dam/nyp-sp/homepage/noticeboard/download/Canteen.pdf'  this document  to view the opening hours of the canteens.
What time does the canteen open,Refer to  https://mynypportal.nyp.edu.sg/content/dam/nyp-sp/homepage/noticeboard/download/Canteen.pdf'  this document  to view the opening hours of the canteens.
What time does the canteen close,Refer to  https://mynypportal.nyp.edu.sg/content/dam/nyp-sp/homepage/noticeboard/download/Canteen.pdf'  this document  to view the opening hours of the canteens.
Is the canteen open,Refer to  https://mynypportal.nyp.edu.sg/content/dam/nyp-sp/homepage/noticeboard/download/Canteen.pdf'  this document  to view the opening hours of the canteens.
Is the canteen closed,Refer to  https://mynypportal.nyp.edu.sg/content/dam/nyp-sp/homepage/noticeboard/download/Canteen.pdf'  this document  to view the opening hours of the canteens.
Are the canteens open,Refer to  https://mynypportal.nyp.edu.sg/content/dam/nyp-sp/homepage/noticeboard/download/Canteen.pdf'  this document  to view the opening hours of the canteens.
Are the canteens closed,Refer to  https://mynypportal.nyp.edu.sg/content/dam/nyp-sp/homepage/noticeboard/download/Canteen.pdf'  this document  to view the opening hours of the canteens.
Have the canteens closed,Refer to  https://mynypportal.nyp.edu.sg/content/dam/nyp-sp/homepage/noticeboard/download/Canteen.pdf'  this document  to view the opening hours of the canteens.
Have the canteens open,Refer to  https://mynypportal.nyp.edu.sg/content/dam/nyp-sp/homepage/noticeboard/download/Canteen.pdf'  this document  to view the opening hours of the canteens.
Who are my module tutors,"Visit https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Academic Matters’, then 'Module/Competency Units and Electives' and click on 'View Module/Competency Unit Tutors & PEM' to find out who your personal mentor and module tutors are."
Who is my tutor,"Visit https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Academic Matters’, then 'Module/Competency Units and Electives' and click on 'View Module/Competency Unit Tutors & PEM' to find out who your personal mentor and module tutors are."
Who is my module tutor,"Visit https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Academic Matters’, then 'Module/Competency Units and Electives' and click on 'View Module/Competency Unit Tutors & PEM' to find out who your personal mentor and module tutors are."
Who are my tutors,"Visit https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Academic Matters’, then 'Module/Competency Units and Electives' and click on 'View Module/Competency Unit Tutors & PEM' to find out who your personal mentor and module tutors are."
Who is my PEM,"Visit https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Academic Matters’, then 'Module/Competency Units and Electives' and click on 'View Module/Competency Unit Tutors & PEM' to find out who your personal mentor and module tutors are."
WHo is my personal mentor,"Visit https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Academic Matters’, then 'Module/Competency Units and Electives' and click on 'View Module/Competency Unit Tutors & PEM' to find out who your personal mentor and module tutors are."
Who is my module tutor,"Visit https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to ’Academic Matters’, then 'Module/Competency Units and Electives' and click on 'View Module/Competency Unit Tutors & PEM' to find out who your personal mentor and module tutors are."
how to pay school fees,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Financial Matters’, then click on 'Apply Financial Assistance and Awards', complete the online forms and click Submit. An Acknowledgment Email will be sent to you NYP Email with the link for uploading the supporting document.  https://for.edu.sg/nyp-bursaryguide'  User Guide"
school fees,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Financial Matters’, then click on 'Apply Financial Assistance and Awards', complete the online forms and click Submit. An Acknowledgment Email will be sent to you NYP Email with the link for uploading the supporting document.  https://for.edu.sg/nyp-bursaryguide'  User Guide"
school fees assistance,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Financial Matters’, then click on 'Apply Financial Assistance and Awards', complete the online forms and click Submit. An Acknowledgment Email will be sent to you NYP Email with the link for uploading the supporting document.  https://for.edu.sg/nyp-bursaryguide'  User Guide"
What is my latest fees balance,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Financial Matters' and click on 'View Fee Status/Pay Fee' to find out about your latest fees balance."
What is the latest fees balance,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Financial Matters' and click on 'View Fee Status/Pay Fee' to find out about your latest fees balance."
How do i find out about my latest fees balance,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Financial Matters' and click on 'View Fee Status/Pay Fee' to find out about your latest fees balance."
How to find out about my latest fees balance,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Financial Matters' and click on 'View Fee Status/Pay Fee' to find out about your latest fees balance."
How do i find out about my latest fees balance,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Financial Matters' and click on 'View Fee Status/Pay Fee' to find out about your latest fees balance."
How to check the status of balance fees,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Financial Matters' and click on 'View Fee Status/Pay Fee' to find out about your latest fees balance."
How do i check the status of balance fees,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Financial Matters' and click on 'View Fee Status/Pay Fee' to find out about your latest fees balance."
Do i have any outstanding fees,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to 'Financial Matters' and click on 'View Fee Status/Pay Fee' to find out about your latest fees balance."
what do i do if i have covid,"Please visit Visit  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/student-support/international-students/coming-to-nyp/covid-req.html    , for more information regarding to our procedures for covid"
do i need to inform my pem that i have covid,"Please visit Visit  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/student-support/international-students/coming-to-nyp/covid-req.html    , for more information regarding to our procedures for covid"
who to inform if i have covid,"Please visit Visit  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/student-support/international-students/coming-to-nyp/covid-req.html    , for more information regarding to our procedures for covid"
how long do i have to quarantine,"Please visit Visit  https://www.nyp.edu.sg/about-nyp/nyp-support-centre-and-services/student-support/international-students/coming-to-nyp/covid-req.html    , for more information regarding to our procedures for covid"
when is cca registration,Visit  https://www.nyp.edu.sg/student-life/cca.html    to view different CCA registration dates
when can i register for cca,Visit  https://www.nyp.edu.sg/student-life/cca.html    to view different CCA registration dates
cca registration dates,Visit  https://www.nyp.edu.sg/student-life/cca.html    to view different CCA registration dates
dates for cca registration,Visit  https://www.nyp.edu.sg/student-life/cca.html    to view different CCA registration dates
how to sign up for cca,Visit  https://www.nyp.edu.sg/student-life/cca.html    to view different CCA registration dates
how to join a cca,Visit  https://www.nyp.edu.sg/student-life/cca.html    to view different CCA registration dates
how to sign up for a cca,Visit  https://www.nyp.edu.sg/student-life/cca.html    to view different CCA registration dates
where is the student IT helpdesk,"The Student IT Helpdesk is located at Block A Level 1, A.158(next to ECG)"
where is the student helpdesk,"The Student IT Helpdesk is located at Block A Level 1, A.158(next to ECG)"
where to find the student IT helpdesk,"The Student IT Helpdesk is located at Block A Level 1, A.158(next to ECG)"
where to find student helpdesk,"The Student IT Helpdesk is located at Block A Level 1, A.158(next to ECG)"
what time does the student IT helpdesk open until,"The Student IT Helpdesk is open from Mon-Fri: 8:30am - 6:00pm and is closed on Sat,Sun and public holidays"
when is the student helpdesk open,"The Student IT Helpdesk is open from Mon-Fri: 8:30am - 6:00pm and is closed on Sat,Sun and public holidays"
what time does the student helpdesk open,"The Student IT Helpdesk is open from Mon-Fri: 8:30am - 6:00pm and is closed on Sat,Sun and public holidays"
what days is the student IT helpdesk open,"The Student IT Helpdesk is open from Mon-Fri: 8:30am - 6:00pm and is closed on Sat,Sun and public holidays"
what days is the student helpdesk open,"The Student IT Helpdesk is open from Mon-Fri: 8:30am - 6:00pm and is closed on Sat,Sun and public holidays"
how can i contact the student IT helpdesk,The Student IT Helpdesk contact is  'tel:+6565500099'+65 6550 0099 or you can email them at  'mailto:NYP_STUHELPIT_from.PCCW@nyp.edu.sg'NYP_STUHELPIT_from.PCCW@nyp.edu.sg
how can i contact the student helpdesk,The Student IT Helpdesk contact is  'tel:+6565500099'+65 6550 0099 or you can email them at  'mailto:NYP_STUHELPIT_from.PCCW@nyp.edu.sg'NYP_STUHELPIT_from.PCCW@nyp.edu.sg
what is the student helpdesk contact,The Student IT Helpdesk contact is  'tel:+6565500099'+65 6550 0099 or you can email them at  'mailto:NYP_STUHELPIT_from.PCCW@nyp.edu.sg'NYP_STUHELPIT_from.PCCW@nyp.edu.sg
what is the student helpdesk email,The Student IT Helpdesk contact is  'tel:+6565500099'+65 6550 0099 or you can email them at  'mailto:NYP_STUHELPIT_from.PCCW@nyp.edu.sg'NYP_STUHELPIT_from.PCCW@nyp.edu.sg
what is the student IT helpdesk contact,The Student IT Helpdesk contact is  'tel:+6565500099'+65 6550 0099 or you can email them at  'mailto:NYP_STUHELPIT_from.PCCW@nyp.edu.sg'NYP_STUHELPIT_from.PCCW@nyp.edu.sg
what is the student IT helpdesk email,The Student IT Helpdesk contact is  'tel:+6565500099'+65 6550 0099 or you can email them at  'mailto:NYP_STUHELPIT_from.PCCW@nyp.edu.sg'NYP_STUHELPIT_from.PCCW@nyp.edu.sg
what are some useful contact numbers,"For the list of useful contact numbers please visit the Contact Us page. For general enquiries, please call  'tel:+6564515115'+65 6451 5115  or email  'mailto:contactNYP@nyp.edu.sg'contactNYP@nyp.edu.sg For enquiries on student admissions matters, you may email  'mailto:nyp_admissions_office@nyp.edu.sg'nyp_admissions_office@nyp.edu.sg."
who can i call if i am having problems,"For the list of useful contact numbers please visit the Contact Us page. For general enquiries, please call  'tel:+6564515115'+65 6451 5115  or email  'mailto:contactNYP@nyp.edu.sg'contactNYP@nyp.edu.sg For enquiries on student admissions matters, you may email  'mailto:nyp_admissions_office@nyp.edu.sg'nyp_admissions_office@nyp.edu.sg."
who to contact if i have an issue,"For the list of useful contact numbers please visit the Contact Us page. For general enquiries, please call  'tel:+6564515115'+65 6451 5115  or email  'mailto:contactNYP@nyp.edu.sg'contactNYP@nyp.edu.sg For enquiries on student admissions matters, you may email  'mailto:nyp_admissions_office@nyp.edu.sg'nyp_admissions_office@nyp.edu.sg."
how can i contact the school staff,"For the list of useful contact numbers please visit the Contact Us page. For general enquiries, please call  'tel:+6564515115'+65 6451 5115  or email  'mailto:contactNYP@nyp.edu.sg'contactNYP@nyp.edu.sg For enquiries on student admissions matters, you may email  'mailto:nyp_admissions_office@nyp.edu.sg'nyp_admissions_office@nyp.edu.sg."
who to call regarding school matters,"For the list of useful contact numbers please visit the Contact Us page. For general enquiries, please call  'tel:+6564515115'+65 6451 5115  or email  'mailto:contactNYP@nyp.edu.sg'contactNYP@nyp.edu.sg For enquiries on student admissions matters, you may email  'mailto:nyp_admissions_office@nyp.edu.sg'nyp_admissions_office@nyp.edu.sg."
how to apply for bursary,"The information on the bursary application exercises, as well as the application procedures, will be announced to all students through Official NYP Student Email Account or you can refer to the NYP website: Financial Assistance- Bursaries"
where can i apply for a bursary,"The information on the bursary application exercises, as well as the application procedures, will be announced to all students through Official NYP Student Email Account or you can refer to the NYP website: Financial Assistance- Bursaries"
bursary application,"The information on the bursary application exercises, as well as the application procedures, will be announced to all students through Official NYP Student Email Account or you can refer to the NYP website: Financial Assistance- Bursaries"
how do i apply for a bursary,"The information on the bursary application exercises, as well as the application procedures, will be announced to all students through Official NYP Student Email Account or you can refer to the NYP website: Financial Assistance- Bursaries"
how do i collect my bursary award,"If you are awarded the Higher Education Community Bursary, the respective community centre/club will inform you on the collection of bursaries and if you are awarded the Higher Education Bursary or other bursaries, the sum will be disbursed through NYP. Please note that the sum will be used to offset any outstanding fees before disbursement unless stated otherwise. It will be deposited into the GIRO account that is maintained with NYP. If you do not have a GIRO account with NYP, it will be transferred to you via PayNow (linked to your NRIC)"
where to collect bursary award,"If you are awarded the Higher Education Community Bursary, the respective community centre/club will inform you on the collection of bursaries and if you are awarded the Higher Education Bursary or other bursaries, the sum will be disbursed through NYP. Please note that the sum will be used to offset any outstanding fees before disbursement unless stated otherwise. It will be deposited into the GIRO account that is maintained with NYP. If you do not have a GIRO account with NYP, it will be transferred to you via PayNow (linked to your NRIC)"
